ประทับเวลา	หมายเลขตึก (ตอบแต่เลข เช่น "15")	หมายเลขชั้น (ตอบแต่เลข เช่น "1")	หมายเลขห้อง (ถ้ามี 0 นำหน้า ใส่มาด้วยนะ)	รายละเอียด ห้อง
17/10/2017, 15:32:27	3	1	0	หน่วยกิจการนิสิต
17/10/2017, 15:34:24	3	1	3107	งานอาคารสถานที่และยานพาหนะ(คณะวิศวะ)
17/10/2017, 22:20:01	14	1	101	ห้อง ปฎิบัติการภาควิชาวัสดุ
17/10/2017, 23:32:21	15	1	203	ห้องบรรยาย
15/10/2017, 1:26:38	15	2	201	ห้องปฏิบัติการคอมพิวเตอร์สำหรับนิสิตภาค CPE และ SKE
15/10/2017, 1:29:04	15	2	203	ห้องบรรยาย
17/10/2017, 15:41:54	3	2	3201	ห้องบรรยาย
17/10/2017, 15:42:45	3	2	3202	ห้องบรรยาย
17/10/2017, 15:43:08	3	2	3203	ห้องบรรยาย
17/10/2017, 22:22:32	14	2	206	ห้องบรรยาย ภาควิชาวัสดุ
17/10/2017, 22:25:08	14	2	205	ห้องบรรยาย ภาควิชาวัสดุ
17/10/2017, 22:26:12	14	2	204	ห้องปฏิบัติการ ภาควิชาวัสดุ
17/10/2017, 22:27:11	14	2	201	ห้องปฏิบัติการ ภาควิชาวัสดุ2
17/10/2017, 15:45:10	3	3	3304	ห้องบรรยาย
17/10/2017, 15:57:12	3	2	3211	ห้องบรรยาย
17/10/2017, 15:57:36	3	2	3212	ห้องบรรยาย
17/10/2017, 15:45:37	3	3	3303	ห้องบรรยาย
17/10/2017, 15:46:11	3	3	3302	ห้องบรรยาย
17/10/2017, 15:46:34	3	3	3301	ห้องบรรยาย
17/10/2017, 22:28:11	14	3	301	ห้องปฏิบัติการ ภาควิชาวัสดุ3
17/10/2017, 22:28:50	14	3	303	ห้องปฏิบัติการ ภาควิชาวัสดุ
17/10/2017, 22:37:22	14	3	304/1	ห้องปฏิบัติการ ภาควิชาวัสดุ
17/10/2017, 22:38:08	14	3	304/2	ห้องปฏิบัติการ ภาควิชาวัสดุ ป.โท
17/10/2017, 15:49:02	3	3	3313	ห้องบรรยาย
17/10/2017, 15:58:01	3	3	3311	ห้องบรรยาย
17/10/2017, 15:58:19	3	3	3312	ห้องบรรยาย
17/10/2017, 15:59:56	3	4	3401	ห้องบรรยาย
17/10/2017, 16:01:05	3	4	3402	ห้องบรรยาย
17/10/2017, 16:01:39	3	4	3403	ห้องบรรยาย
17/10/2017, 22:38:50	14	4	410	ห้องบรรยาย
17/10/2017, 22:39:40	14	4	412	ห้องบรรยาย
17/10/2017, 22:40:08	14	4	404	ห้องบรรยาย
17/10/2017, 22:41:00	14	4	403	ห้องบรรยาย ภาควิชาวัสดุ
17/10/2017, 22:42:22	14	4	401	ห้องปฏิบัติการคอมพิวเตอร์
17/10/2017, 22:43:06	14	4	407	ห้องบรรยาย
17/10/2017, 22:43:46	14	4	406	ห้องบรรยาย
17/10/2017, 22:44:09	14	4	405	ห้องบรรยาย
18/10/2017, 21:48:59	14	5	502	ห้องปฏิบัติการ
18/10/2017, 21:50:02	14	5	507	ห้องบรรยาย
18/10/2017, 21:48:06	14	6	602/L1	ห้องบรรยาย
18/10/2017, 21:48:36	14	6	602/L2	ห้องบรรยาย
18/10/2017, 21:46:26	14	8	803	ห้องบรรยาย
18/10/2017, 21:45:51	14	9	903	ห้องปฏิบัติการ
18/10/2017, 21:43:40	14	10	1003	ห้องบรรยาย
18/10/2017, 21:43:59	14	10	1015	ห้องปฏิบัติการ
18/10/2017, 21:44:39	14	10	1007	ห้องปฏิบัติการนิสิตปริญญาโท
18/10/2017, 21:45:07	14	10	1006	ห้องบรรยาย
18/10/2017, 21:40:14	14	11	1104/3	ห้องบรรยาย
18/10/2017, 21:40:53	14	11	1104/4	ห้องปฏิบัติการ
18/10/2017, 21:41:17	14	11	1104/6	ห้องปฏิบัติการ
18/10/2017, 21:42:32	14	11	1105	ห้องปฏิบัติการ
18/10/2017, 21:38:52	14	12	1205	ห้องปฏิบัติการ
18/10/2017, 21:25:17	14	13	1304	ห้องบรรยาย
18/10/2017, 21:26:34	14	13	1306	ห้องบรรยาย
18/10/2017, 21:28:59	14	13	1301	ห้องนิสิตปริญญาโท
18/10/2017, 21:29:40	14	13	1302	ห้องนิสิตปริญญาโท
18/10/2017, 21:32:59	14	13	1302	ห้องนิสิตปริญญาโท
18/10/2017, 21:34:15	14	13	1303/1	design clinic solution provider
18/10/2017, 21:34:57	14	13	1303/2	design clinic solution provider
18/10/2017, 21:35:33	14	13	1311	design clinic solution provider
18/10/2017, 21:36:03	14	13	1310	design clinic solution provider
18/10/2017, 21:36:37	14	13	1309	design clinic solution provider
18/10/2017, 21:37:28	14	13	1307	ห้องบรรยาย
18/10/2017, 21:38:03	14	13	1308	ห้องบรรยาย
17/10/2017, 15:37:46	3	1	3111	ห้องบรรยาย
17/10/2017, 15:38:08	3	1	3112	ห้องบรรยาย
17/10/2017, 15:43:33	3	2	3204	ห้องบรรยาย
31/10/2017, 14:59:16	14	4	408	ห้องพักอาจารย์กฤษฎา สุรวัฒนวิเศษ
31/10/2017, 15:00:27	14	4	409	ห้องพักอาจารย์พีระพงศ์ ตริยเจริญ
