หมายเลขอาคาร ชื่อ ชั้น
1 อาคารเรียนและบริหาร 5
2 อาคารปฏิบัติการวิศวกรรมไฟฟ้า 8
3 อาคารเรียนคณะ 4
4 อาคารศูนย์คอมพิวเตอร์วิศวกรรม 2
5 อาคารปฏิบัติการวิศวกรรมเครื่องกล 6
6 อาคารปฏิบัติการยานยนต์ 3
7 อาคารปฏิบัติการวิศวกรรมอุตสาหการ 2
8 อาคารปฏิบัติการและวิจัย 7
9 อาคารปฏิบัติการวิศวกรรมโยธา 9
10 อาคารวัสดุธานี 3
11 อาคารชำนาญเพ็ญชาติ 4
12 อาคารวิศวกรรมสำรวจและบริหารการก่อสร้าง 2
13 อาคารปฏิบัติการวิศวกรรมทรัพยากรน้ำ 2
14 อาคารวิศวกรรมศาสตร์ 13
15 อาคารปฏิบัติการคณะวิศวกรรมศาสตร์ 9
16 อาคารสโมสรนิสิต 4
17 อาคารเรียนนานาชาติ 5
